Model,Month,Month_Name,Actual_TWSA_mm,Actual_Std_mm,Predicted_TWSA_mm,Predicted_Std_mm,Residual_mm,Residual_Std_mm,Sample_Count
LSTM,6,Jun,-8.78410343254844,11.31615485182099,-10.090350076676811,9.072572591830603,1.3062466418383925,9.842468387885097,690.0
LSTM,7,Jul,0.9712807148894651,11.91559766295667,2.258367027645161,5.678205828857138,-1.287086311345717,9.548259542817258,713.0
LSTM,8,Aug,5.929308969569992,12.11685115478243,8.63102353057265,5.44147767335799,-2.701714565889881,9.964975687221239,713.0
LSTM,9,Sep,4.970348780438267,11.502220948108484,8.823804930279879,6.371266050864412,-3.853456158879612,9.751870064055023,661.0
LSTM,10,Oct,-1.2235807439695159,10.174046598567116,0.9849651467932552,8.072075959685112,-2.2085458883297844,8.168733650113602,682.0
LSTM,11,Nov,-8.304689755411799,9.195795524958092,-6.98951589995303,6.912183948837302,-1.3151738639917938,5.867426340136624,660.0
LSTM,12,Dec,-12.881172219932182,8.702370762637676,-10.596408079178886,7.637189769282822,-2.2847641343678164,4.944893514449361,682.0
LightGBM,1,Jan,-15.635841860469602,8.572568426879771,-15.320044958427516,7.8465419250140735,-0.3157969020420864,3.068052178691496,682.0
LightGBM,2,Feb,-18.14151928351521,8.644193400445452,-17.517249911051074,6.807808271214472,-0.6242693724641315,3.7755176132547885,622.0
LightGBM,3,Mar,-19.89533794218851,8.689874829062685,-17.957533659747376,6.430309455333249,-1.9378042824411374,4.774833271985253,682.0
LightGBM,4,Apr,-19.704531891921533,9.003632462462516,-17.549974785279822,7.050972912690428,-2.1545571066417093,4.376777830921673,683.0
LightGBM,5,May,-16.871714668690252,9.79649480668837,-14.977153729443934,7.783469078766724,-1.8945609392463203,4.680216984729107,713.0
LightGBM,6,Jun,-8.78410343254844,11.31615485182099,-8.525928234250696,9.375772927076827,-0.25817519829774244,5.548668592505852,690.0
LightGBM,7,Jul,0.9712807148894651,11.91559766295667,1.4074161191512502,8.12578223168239,-0.436135404261785,5.902885363334687,713.0
LightGBM,8,Aug,5.929308969569992,12.11685115478243,6.894771106741881,8.375533922702324,-0.9654621371718889,5.6162817721768405,713.0
LightGBM,9,Sep,4.970348780438267,11.502220948108484,6.817784402611764,7.72967769267694,-1.8474356221734967,5.642289048844836,661.0
