date,observed,predicted,n_cells,month,residual
2016-08-01,26.92373332925323,48.288285791503334,367,8,21.364552462250103
2016-11-01,-120.0402410465625,-148.09142934767166,367,11,-28.051188301109164
2016-12-01,-203.30494373955582,-189.31260217326715,367,12,13.992341566288673
2017-01-01,-193.85653807096975,-206.9069082328115,367,1,-13.050370161841755
2017-03-01,-335.39951657079547,-299.25541982750633,367,3,36.14409674328914
2017-04-01,-349.63105347760694,-312.476507277457,367,4,37.15454620014992
2017-05-01,-368.94704451807837,-314.6301908368701,367,5,54.31685368120827
2018-05-01,-414.88284783012534,-336.1587980707895,367,5,78.72404975933586
2018-06-01,-333.42203025921816,-221.72142864731745,367,6,111.70060161190071
2018-10-01,-186.09005203299043,-147.6887106269292,367,10,38.40134140606122
2018-11-01,-258.65062061382577,-210.5904965738724,367,11,48.060124039953365
2018-12-01,-286.7200419402577,-234.23336818664902,367,12,52.4866737536087
2019-01-01,-277.0613099625715,-253.2774514785495,367,1,23.783858484022005
2019-02-01,-303.8455893441182,-260.667827559775,367,2,43.177761784343204
2019-03-01,-366.75004676382287,-315.7104331685247,367,3,51.03961359529819
2019-04-01,-394.10398358934907,-330.68965604661497,367,4,63.4143275427341
2019-05-01,-425.2622063660167,-351.11502608592394,367,5,74.14718028009275
2019-06-01,-266.3892671145925,-249.87828004625328,367,6,16.510987068339205
2019-07-01,-110.889030630647,-71.69353960679726,367,7,39.19549102384974
2019-08-01,-36.754551139124736,-1.7604365822917236,367,8,34.99411455683301
2019-09-01,-48.217098672643345,-13.10192156190618,367,9,35.115177110737164
2019-10-01,-143.75151246769877,-122.44599575559614,367,10,21.30551671210263
2019-11-01,-178.66481215671232,-187.02925096698718,367,11,-8.364438810274862
2019-12-01,-201.53180683796023,-205.8400098053079,367,12,-4.308202967347654
2020-01-01,-232.98048316685316,-214.9412682611696,367,1,18.039214905683565
2020-02-01,-228.6086227796383,-239.1017148685756,367,2,-10.493092088937317
2020-03-01,-294.1168349393382,-272.05465746648355,367,3,22.06217747285467
2020-04-01,-306.24215845840826,-298.7694947615779,367,4,7.472663696830352
2020-05-01,-279.1674443694486,-281.38432974228436,367,5,-2.2168853728357476
2020-06-01,-147.1134936296323,-147.03232637947025,367,6,0.0811672501620535
2020-07-01,-34.834938496270034,-43.451684196478446,367,7,-8.616745700208412
2020-08-01,4.4060207855473905,-9.287581178969853,367,8,-13.693601964517244
2020-09-01,-94.54580706666536,-70.86865398917202,367,9,23.677153077493344
