well_id,lat,lon,n_months,RMSE,MAE,MBE,R2,NSE
23.6742_77.0694,23.6742,77.0694,64,418.4643001678592,322.56127362988275,-35.59230832722963,0.344202877919142,0.2421819818565023
23.6906_77.0083,23.6906,77.0083,65,127.34941291883113,95.45355939503514,60.24708814781328,0.4491722480811348,-4.268736063075035
23.6917_81.6653,23.6917,81.6653,61,174.32515488027872,128.95775567671174,93.41610489239379,0.03718746264761561,-2.2046538854968003
23.7050_79.5367,23.705,79.5367,63,170.93666710948796,136.27083019041262,97.75971836839057,0.1155823456407058,-2.359655868951473
23.7083_80.3172,23.7083,80.3172,62,129.48324205976743,104.51222499725905,77.29021554078099,0.3687895329919926,-1.5433913026667145
23.7106_80.8319,23.7106,80.8319,63,141.88106505614226,106.25969757586984,85.27898294235219,0.30151254112457243,-4.28770950888458
23.7158_78.8136,23.7158,78.8136,59,193.31567287354898,149.45556903815572,118.75824000655349,0.0007020971537109221,-11.874678254770808
23.7214_81.0208,23.7214,81.0208,65,146.24224340124564,116.18479437826369,95.341138169213,0.33726882334374325,-6.53189908231817
23.7217_75.3833,23.7217,75.3833,62,155.54768158481096,128.7234207553087,-28.99599317407371,0.4121390392440326,-2.626186482959547
23.7278_78.4053,23.7278,78.4053,62,166.96600900210112,132.85451553649565,95.93742993398091,0.19389935269241093,-5.961203676706383
23.7361_78.5886,23.7361,78.5886,65,160.70656997838356,127.26572939907122,92.28161965164283,0.22764428927770292,-6.026737475199436
23.7389_75.8533,23.7389,75.8533,64,148.9705425278839,126.20462616344147,-13.66605585999653,0.37084513426992205,-1.192571706384201
23.7458_84.4083,23.7458,84.4083,55,129.5672917197267,107.720241423908,-19.010059572753857,0.14177197536798844,-1.4536897550892496
23.7561_81.3611,23.7561,81.3611,63,173.91959427138397,135.74794032464234,112.46283032651849,0.11438401792219836,-2.9489925336586253
23.7578_75.5297,23.7578,75.5297,60,151.69662769322986,130.44301088809968,40.356883762677505,0.4283912059400605,-0.3701905817229052
23.7717_77.6092,23.7717,77.6092,63,143.3196850935107,106.91442146863325,68.33268669787246,0.25058491062630256,-4.023680266416313
23.7839_79.1289,23.7839,79.1289,61,166.65048597953992,132.30476186444284,100.55689762843296,0.14005006478271007,-12.242984355687305
23.7878_75.8061,23.7878,75.8061,62,143.73788197387339,122.92924700413599,-0.9536697020280985,0.6147045539408534,-12.33010833825512
23.7944_77.2564,23.7944,77.2564,62,120.54995151641668,95.36354206099433,52.83674920378321,0.11104519234008234,-10.032360043195116
23.7972_80.8300,23.7972,80.83,63,173.89427014615165,135.24047790033563,106.40475460954045,0.10376090679389961,-3.2982076037902095
23.8067_78.1236,23.8067,78.1236,64,164.1680648724738,125.94973190837123,81.82318099528949,0.15740288575878936,-4.759682106848501
23.8083_81.3881,23.8083,81.3881,65,135.84400159195735,104.21714999754397,73.4514639768119,0.26874842363919227,-5.887267868270631
23.8217_80.4986,23.8217,80.4986,65,138.70482479782956,107.17567672720389,77.19319276870154,0.3785639919172538,-0.2093573356461047
23.8269_80.6217,23.8269,80.6217,65,174.74631593121433,144.22734033281617,55.876912009618174,0.2753555819254098,0.1510171741827987
23.8306_80.3986,23.8306,80.3986,65,185.310658862215,143.10927378205992,116.76021926744022,0.004484717175146266,-10.95716598914998
23.8333_78.7675,23.8333,78.7675,65,136.2795423975733,107.20714168031795,73.95919337577443,0.4530877859083314,-2.783272190837751
23.8333_84.7958,23.8333,84.7958,57,101.81857020523078,83.32534086061479,-20.724980109804644,0.3701351282518018,-3.458079026123821
23.8458_84.1917,23.8458,84.1917,59,129.68279494094324,101.47205949435983,-23.66704158434878,0.2761532410930669,-14.271343842175385
23.8500_84.3458,23.85,84.3458,60,124.02877729135307,101.88993883828898,-36.286594025294214,0.5098767742138302,-4.823780497256644
23.8506_80.5567,23.8506,80.5567,65,186.4626826790764,152.2845313747653,97.32382229529384,0.10307136902503548,-0.886362883259046
23.8525_76.1042,23.8525,76.1042,63,115.77924527473104,97.53946534477399,17.31585972445762,0.7208195817707044,-1.753679374538144
23.8539_78.9356,23.8539,78.9356,63,170.03060329018595,133.59070628391586,100.61025037287747,0.09699293201622018,-8.766081439821294
23.8619_80.6986,23.8619,80.6986,65,119.74656670833004,95.3629360247652,62.03364507256197,0.4815710853004001,0.09050503186070191
23.8631_77.9244,23.8631,77.9244,62,158.66311306074246,122.11911208544846,84.35779101305559,0.13154642855560603,-7.324665945750024
23.8967_76.4533,23.8967,76.4533,64,99.98212886377819,76.58411288171092,33.092381753471784,0.6199702577928105,0.017010757745532068
23.8972_79.5667,23.8972,79.5667,60,163.91057493857795,131.06740605490305,68.05660277260046,0.1289985942529082,-0.8377412075344062
23.8972_82.5028,23.8972,82.5028,63,110.34997610751337,83.15573168935181,-8.717773901639905,0.32544845558511076,-0.3852533913881633
